Year,Month,Price_beef_kilo,Price_rice_kilo,Price_coffee_kilo
1992,Feb,2.52,0.28,1.51
1992,Mar,2.45,0.28,1.55
1992,Apr,2.38,0.28,1.45
1992,May,2.38,0.27,1.34
1992,Jun,2.33,0.27,1.3
1992,Jul,2.35,0.28,1.28
1992,Aug,2.45,0.27,1.17
1992,Sep,2.44,0.26,1.17
1992,Oct,2.5,0.25,1.36
1992,Nov,2.54,0.25,1.48
1992,Dec,2.54,0.26,1.7
1993,Jan,2.35,0.26,1.53
1993,Feb,2.39,0.25,1.49
1993,Mar,2.53,0.23,1.4
1993,Apr,2.59,0.21,1.28
1993,May,2.68,0.18,1.37
1993,Jun,2.74,0.19,1.38
1993,Jul,2.82,0.2,1.58
1993,Aug,2.8,0.21,1.7
1993,Sep,2.73,0.21,1.78
1993,Oct,2.67,0.26,1.69
1993,Nov,2.64,0.31,1.73
1993,Dec,2.46,0.32,1.79
1994,Jan,2.42,0.36,1.74
1994,Feb,2.49,0.34,1.85
1994,Mar,2.69,0.27,1.92
1994,Apr,2.63,0.27,2
1994,May,2.39,0.23,2.69
1994,Jun,2.23,0.21,3.16
1994,Jul,2.19,0.23,4.83
1994,Aug,2.2,0.25,4.42
1994,Sep,2.21,0.26,4.89
1994,Oct,2.12,0.26,4.45
1994,Nov,2.19,0.26,4.03
1994,Dec,2.23,0.26,3.72
1995,Jan,2.13,0.28,3.81
1995,Feb,2.16,0.28,3.74
1995,Mar,2.04,0.29,3.96
1995,Apr,1.92,0.28,3.84
1995,May,1.75,0.29,3.77
1995,Jun,1.66,0.33,3.41
1995,Jul,1.63,0.35,3.21
1995,Aug,1.69,0.34,3.38
1995,Sep,1.76,0.36,2.96
1995,Oct,1.82,0.38,2.81
1995,Nov,1.94,0.34,2.76
1995,Dec,1.91,0.34,2.34
1996,Jan,1.86,0.37,2.44
1996,Feb,1.81,0.37,2.74
1996,Mar,1.72,0.36,2.66
1996,Apr,1.72,0.33,2.72
1996,May,1.7,0.33,2.85
1996,Jun,1.65,0.34,2.77
1996,Jul,1.68,0.36,2.7
1996,Aug,1.76,0.34,2.78
1996,Sep,1.75,0.33,2.62
1996,Oct,1.79,0.31,2.74
1996,Nov,1.77,0.32,2.74
1996,Dec,1.79,0.32,2.58
1997,Jan,1.77,0.36,2.93
1997,Feb,1.84,0.35,3.71
1997,Mar,2.04,0.32,4.29
1997,Apr,2,0.3,4.56
1997,May,1.9,0.32,5.89
1997,Jun,1.76,0.32,4.89
1997,Jul,1.8,0.32,4.2
1997,Aug,1.84,0.28,4.21
1997,Sep,1.79,0.27,4.19
1997,Oct,1.76,0.27,3.7
1997,Nov,1.83,0.25,3.53
1997,Dec,1.85,0.27,3.91
1998,Jan,1.82,0.29,3.92
1998,Feb,1.79,0.3,3.93
1998,Mar,1.79,0.3,3.48
1998,Apr,1.79,0.31,3.31
